File_ID,SEO_Title,Alt_Text,Meta_Description,Keywords,Category,Catagory_Sub,Type,Resolution
20260215_000011,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"Succulent roasted chicken with a glossy glaze, plated over creamy mashed potatoes and crisp green beans — 2K royalty-free food & beverage stock footage","Succulent roasted chicken with a glossy glaze, plated over creamy mashed potatoes and crisp green beans. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, glossy glaze, succulent chicken, mashed potatoes, green beans, plated, comfort food, home cooking, dinner, poultry, crispy skin, savory, entree, appetizing, meal, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000012,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,Herb-roasted chicken with rich cheese sauce over creamy mashed potatoes and crisp green beans — 2K royalty-free food & beverage stock footage,"Herb-roasted chicken with rich cheese sauce over creamy mashed potatoes and crisp green beans. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","herb roasted chicken, chicken, roasted chicken, cheese sauce, mashed potatoes, green beans, creamy mashed potatoes, comfort food, home cooking, dinner, rustic, kitchen, plated dish, food video, close-up, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000013,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Herb-roasted chicken with rosemary on creamy mashed potatoes and steamed green beans, finished with a rich glaze — 4K royalty-free food & beverage stock footage","Herb-roasted chicken with rosemary on creamy mashed potatoes and steamed green beans, finished with a rich glaze. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","herb-roasted chicken, rosemary chicken, roasted chicken, chicken with rosemary, creamy mashed potatoes, mashed potatoes, green beans, steamed green beans, vegetable side dish, rich glaze, savory meal, home cooking, rustic dinner, restaurant quality, poultry dish, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000014,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Herb-crusted chicken breast with vegetables, mashed potatoes, and a glossy sauce, paired with a glass of red wine — 4K royalty-free food & beverage stock footage","Herb-crusted chicken breast with vegetables, mashed potatoes, and a glossy sauce, paired with a glass of red wine. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","herb crusted chicken, chicken breast, vegetables, mashed potatoes, glossy sauce, red wine, glass of wine, dinner, meal, gourmet, plated dish, culinary, cuisine, elegant dining, food styling, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000015,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"A plated herb-roasted chicken breast with rosemary, creamy mashed potatoes, and sautéed vegetables in a rich sauce, presented in a candlelit dining setting — 4K royalty-free food & beverage stock footage","A plated herb-roasted chicken breast with rosemary, creamy mashed potatoes, and sautéed vegetables in a rich sauce, presented in a candlelit dining setting. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","herb-roasted chicken breast, rosemary, creamy mashed potatoes, sautéed vegetables, rich sauce, plated dish, candlelit dining, fine dining, gourmet meal, dinner scene, restaurant presentation, main course, protein, comfort food, culinary plating, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000016,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Delicious roasted chicken smothered in glossy gravy, served with creamy mashed potatoes and fresh green beans — 4K royalty-free food & beverage stock footage","Delicious roasted chicken smothered in glossy gravy, served with creamy mashed potatoes and fresh green beans. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, gravy, glossy gravy, mashed potatoes, green beans, creamy mashed potatoes, home-cooked, comfort food, dinner, poultry, protein, savory, plated dish, food photography, close-up, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000017,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Succulent roasted chicken with creamy mashed potatoes, green beans, and gravy, garnished with a rosemary sprig — 4K royalty-free food & beverage stock footage","Succulent roasted chicken with creamy mashed potatoes, green beans, and gravy, garnished with a rosemary sprig. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","Succulent roasted chicken, roasted chicken, creamy mashed potatoes, mashed potatoes, green beans, gravy, rosemary, herb garnish, comforting meal, home cooking, poultry, dinner, roast chicken, chicken with gravy, side dishes, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000018,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Succulent roasted chicken with crispy skin and fresh herbs, served beside creamy mashed potatoes and green beans — 4K royalty-free food & beverage stock footage","Succulent roasted chicken with crispy skin and fresh herbs, served beside creamy mashed potatoes and green beans. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, crispy skin, herb roasted chicken, chicken dinner, mashed potatoes, creamy mashed potatoes, green beans, green bean side, comfort food, home cooking, dinner time, kitchen scene, plated meal, golden brown chicken, side dishes, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000019,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Sumptuous roasted chicken with glossy glaze, served with creamy mashed potatoes and green beans — 4K royalty-free food & beverage stock footage","Sumptuous roasted chicken with glossy glaze, served with creamy mashed potatoes and green beans. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, glossy glaze, mashed potatoes, green beans, comfort food, dinner, home cooking, golden brown, crispy skin, poultry, savory, plated meal, restaurant quality, side dish, meal prep, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000020,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Roasted chicken with crispy herb-glazed skin, served with creamy mashed potatoes and green beans — 4K royalty-free food & beverage stock footage","Roasted chicken with crispy herb-glazed skin, served with creamy mashed potatoes and green beans. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, crispy skin, herb glaze, creamy mashed potatoes, green beans, comfort food, home cooking, dinner, poultry, classic roast, side dish, kitchen, family dinner, hearty meal, restaurant quality, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000021,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Juicy roasted chicken with crispy glaze, steamed greens, and creamy mashed potatoes, finished with a sprig of herbs. Steam rising adds warmth to a cozy, gourmet dinner scene — 4K royalty-free food & beverage stock footage","Juicy roasted chicken with crispy glaze, steamed greens, and creamy mashed potatoes, finished with a sprig of herbs. Steam rising adds warmth to a cozy, gourmet dinner scene. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, crispy glaze, juicy chicken, gourmet dinner, steam rising, steamed greens, creamy mashed potatoes, mashed potatoes, sprig of herbs, herbs, cozy dinner, home cooking, comfort food, dinner scene, plated meal, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000022,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Herb-crusted chicken breast with rich sauce, plated over mashed potatoes and sautéed greens — 4K royalty-free food & beverage stock footage","Herb-crusted chicken breast with rich sauce, plated over mashed potatoes and sautéed greens. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","herb crusted chicken, chicken breast, herb crusted, mashed potatoes, sautéed greens, rich sauce, plated, dinner, home cooking, gourmet, restaurant, comfort food, savory, close-up, food video, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, portrait",Food & Beverage,Food Menu,video,2160x3840
20260215_000023,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"A succulent roasted chicken breast atop creamy mashed potatoes, finished with a glossy pan sauce and served with vibrant steamed vegetables, garnished with rosemary — 4K royalty-free food & beverage stock footage","A succulent roasted chicken breast atop creamy mashed potatoes, finished with a glossy pan sauce and served with vibrant steamed vegetables, garnished with rosemary. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, chicken breast, mashed potatoes, creamy mashed potatoes, pan sauce, glossy sauce, steamed vegetables, rosemary, garnish, comfort food, home cooking, dinner, restaurant style, protein, meal plating, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000024,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Succulent roasted chicken with crispy skin, served with creamy mashed potatoes and roasted root vegetables in a herb-infused sauce — 4K royalty-free food & beverage stock footage","Succulent roasted chicken with crispy skin, served with creamy mashed potatoes and roasted root vegetables in a herb-infused sauce. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, crispy skin, mashed potatoes, roasted root vegetables, herb-infused sauce, poultry, dinner, comfort food, home cooking, golden brown, plating, food video, close-up, kitchen, savory, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000025,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,Roasted chicken on a bed of creamy mashed potatoes with glazed carrots and herbs — 4K royalty-free food & beverage stock footage,"Roasted chicken on a bed of creamy mashed potatoes with glazed carrots and herbs. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, creamy mashed potatoes, glazed carrots, herbs, comfort food, home cooking, food photography, stock footage, kitchen, dinner, plated dish, restaurant style, family meal, rustic, plated presentation, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000026,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Succulent roasted chicken with creamy mashed potatoes and colorful roasted vegetables, finished with fresh herbs — 4K royalty-free food & beverage stock footage","Succulent roasted chicken with creamy mashed potatoes and colorful roasted vegetables, finished with fresh herbs. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","succulent roasted chicken, roasted chicken, creamy mashed potatoes, mashed potatoes, colorful roasted vegetables, roasted vegetables, fresh herbs, herbs, home cooking, comfort food, family dinner, dinner scene, kitchen prep, plating, close-up, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000027,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"A plated roasted chicken breast with herb garnish, creamy mashed potatoes, and a side of carrots and broccoli with a drizzle of glaze — 4K royalty-free food & beverage stock footage","A plated roasted chicken breast with herb garnish, creamy mashed potatoes, and a side of carrots and broccoli with a drizzle of glaze. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken breast, herb garnish, mashed potatoes, creamy mashed potatoes, carrots, broccoli, glaze, plated meal, fine dining, comfort food, dinner plate, poultry, entrée, side dish, restaurant plating, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000028,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Juicy roasted chicken breast atop creamy mashed potatoes, with steamed broccoli and carrots, finished with a drizzle of jus and a sprig of rosemary — 4K royalty-free food & beverage stock footage","Juicy roasted chicken breast atop creamy mashed potatoes, with steamed broccoli and carrots, finished with a drizzle of jus and a sprig of rosemary. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, chicken breast, mashed potatoes, creamy mashed potatoes, broccoli, carrots, drizzle of jus, rosemary, plated dinner, comfort food, home cooking, food photography, restaurant quality, dinner scene, gourmet presentation, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000029,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Succulent roasted chicken breast served over creamy mashed potatoes with steamed vegetables, finished with a drizzle of sauce and fresh herb garnish — 4K royalty-free food & beverage stock footage","Succulent roasted chicken breast served over creamy mashed potatoes with steamed vegetables, finished with a drizzle of sauce and fresh herb garnish. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, chicken breast, mashed potatoes, creamy mashed potatoes, steamed vegetables, vegetables, herb garnish, sauce drizzle, sauce, poultry, protein, comfort food, dinner, main course, restaurant quality, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000030,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"A plated roasted chicken breast resting on creamy mashed potatoes, with broccoli and carrots on the side, finished with a glossy sauce and a rosemary garnish — 4K royalty-free food & beverage stock footage","A plated roasted chicken breast resting on creamy mashed potatoes, with broccoli and carrots on the side, finished with a glossy sauce and a rosemary garnish. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, plated chicken, mashed potatoes, broccoli, carrots, glossy sauce, rosemary garnish, comfort food, dinner plate, restaurant style, home cooking, poultry, protein, food photography, meal presentation, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000031,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,Herb-roasted chicken served with creamy mashed potatoes and a colorful medley of steamed vegetables on a white plate — 4K royalty-free food & beverage stock footage,"Herb-roasted chicken served with creamy mashed potatoes and a colorful medley of steamed vegetables on a white plate. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","herb roasted chicken, roasted chicken, creamy mashed potatoes, mashed potatoes, vegetables medley, steamed vegetables, colorful vegetables, vegetable medley, white plate, plated meal, comfort food, dinner, home cooking, kitchen, cuisine, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000032,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,Roasted chicken dinner plated with creamy mashed potatoes and colorful roasted vegetables — 4K royalty-free food & beverage stock footage,"Roasted chicken dinner plated with creamy mashed potatoes and colorful roasted vegetables. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, chicken dinner, mashed potatoes, creamy mashed potatoes, roasted vegetables, colorful vegetables, plated meal, home cooking, comforting food, hearty meal, family dinner, poultry, protein, side dishes, dinner plate, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000033,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Succulent roasted chicken perched on creamy mashed potatoes, finished with rich pan gravy and crisp root vegetables — 4K royalty-free food & beverage stock footage","Succulent roasted chicken perched on creamy mashed potatoes, finished with rich pan gravy and crisp root vegetables. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, mashed potatoes, pan gravy, root vegetables, vegetables, gravy, comfort food, home cooking, dinner, plated dish, gourmet, food photography, restaurant style, close-up, delicious, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000034,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Roasted chicken with crispy potatoes on a bed of creamy mash, finished with fresh thyme — 4K royalty-free food & beverage stock footage","Roasted chicken with crispy potatoes on a bed of creamy mash, finished with fresh thyme. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, crispy potatoes, creamy mash, mashed potatoes, thyme, herb roast, home cooking, comfort food, dinner ideas, restaurant quality, food video, close up, plating, golden brown, rustic meal, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000035,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Juicy roasted chicken served over creamy mashed potatoes with roasted vegetables, garnished with fresh rosemary — 4K royalty-free food & beverage stock footage","Juicy roasted chicken served over creamy mashed potatoes with roasted vegetables, garnished with fresh rosemary. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, mashed potatoes, roasted vegetables, rosemary, juicy chicken, creamy mashed potatoes, comfort food, dinner ideas, home cooking, poultry, herb garnish, baked chicken, meat and potatoes, restaurant quality, family meal, Chicken Dinner, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000036,Chicken Dinner — 4K Royalty-Free Food & Beverage Stock Video,"Succulent roasted chicken with crispy skin, served with creamy mashed potatoes and roasted carrots, garnished with fresh thyme — 4K royalty-free food & beverage stock footage","Succulent roasted chicken with crispy skin, served with creamy mashed potatoes and roasted carrots, garnished with fresh thyme. 4K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, crispy skin, mashed potatoes, roasted carrots, thyme, chicken dinner, poultry, home cooking, comfort food, dinner, crispy chicken, side dishes, roast chicken, white meat, culinary, Food Menu, Food & Beverage, 4K footage, royalty-free stock footage, royalty-free, stock, landscape",Food & Beverage,Food Menu,video,3840x2160
20260215_000037,Tikka Masala — 2K Royalty-Free Food & Beverage Stock Video,"Chicken tikka masala in a creamy tomato sauce, garnished with cream swirls and cilantro, served with rice and naan — 2K royalty-free food & beverage stock footage","Chicken tikka masala in a creamy tomato sauce, garnished with cream swirls and cilantro, served with rice and naan. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","chicken tikka masala, Indian curry, creamy tomato sauce, cilantro, naan bread, rice, Indian cuisine, curry dish, food stock footage, garnish, cream swirls, masala, savory, restaurant quality, dinner, Tikka Masala, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000038,Tikka Masala — 2K Royalty-Free Food & Beverage Stock Video,"Chicken Tikka Masala in a glossy tomato sauce, studded with tender chicken and topped with chopped cilantro in a traditional brass pot — 2K royalty-free food & beverage stock footage","Chicken Tikka Masala in a glossy tomato sauce, studded with tender chicken and topped with chopped cilantro in a traditional brass pot. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","chicken tikka masala, Indian curry, curry, tomato sauce, chicken, cilantro, brass pot, traditional cookware, kitchen, food footage, cooking, masala, spice, glossy sauce, plated dish, Tikka Masala, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000039,Tikka Masala — 2K Royalty-Free Food & Beverage Stock Video,"A rich, creamy tomato-based chicken tikka masala in a metal bowl, garnished with fresh cilantro — 2K royalty-free food & beverage stock footage","A rich, creamy tomato-based chicken tikka masala in a metal bowl, garnished with fresh cilantro. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","chicken tikka masala, tikka masala, creamy tomato sauce, Indian curry, chicken curry, Indian food, cilantro, cilantro garnish, metal bowl, close-up, food photography, recipe video, restaurant dish, curry, comforting, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
